Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
1;Directores y gerentes;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública y de las empresas definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados, o asesoran al respecto; elaboran leyes y reglamentos, actúan en nombre y representación de los gobiernos, vigilan la Interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o elaboran, aplican y coordinan la actividad de una empresa o de una organización, o de sus departamentos y servicios internos.";"Las tareas desempeñadas por lo común por los miembros del poder ejecutivo y de los cuerpos legislativos y por el personal directivo de la administración pública y de las empresas incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local y asesorar al respecto; elaborar leyes y reglamentos; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación; ejercer funciones similares por cuenta de un partido político, un sindicato u otra organización especializada; elaborar, aplicar y coordinar la política y la actividad de una empresa o de una organización o de sus departamentos y servicios internos. Además, pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas, directivas o administrativas que posean calificaciones científicas, técnicas o administrativas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de conocimientos científicos o técnicos específicos, deberá clasificarse el puesto de trabajo en cuestión bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas. legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste en decidir sobre la asignación de fondos para la investigación y el desarrollo, aplicando para ello conocimientos médicos, dicho puesto de trabajo debería pertenecer a este gran grupo.;
11;Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados o asesoran al respecto; elaboran, ratifican o modifican y derogan leyes y reglamentos, actúan en nombre y representación de los gobiernos; vigilan la interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o desempeñan tareas similares en representación de otras organizaciones especializadas.";"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local o asesorar al respecto y dirigir su aplicación; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación por los servicios u organismos oficiales o intergubernamentales; ejercer funciones similares por cuenta de un partido político, de un sindicato u otra organización especializada: realizar negociaciones en nombre de dichos organismos, de sus miembros o clientes. Sus tareas pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas o administrativas que posean calificaciones científicas, técnicas o profesionales pueden plantearse dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas, legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste, por ejemplo, en asignar a la investigación y al desarrollo fondos procedentes del presupuesto público, tomándose como base el conocimiento médico, dicho puesto de trabajo debería pertenecer a este gran grupo.;
112;Directores generales y gerentes generales;El personal directivo de la administración pública asesora al gobierno en los asuntos políticos, vigila la interpretación y aplicación de la política gubernamental y de la legislación, representa a su país en el extranjero, o cumple tareas similares en organizaciones inter-gubernamentales.;"Las tareas desempeñadas por lo común incluyen las siguientes: asesorar al gobierno nacional o al gobierno del Estado federado o de la provincia, región o colectividad local en asuntos políticos; vigilar la interpretación y aplicación de la política y la legislación; representar a su país en el extranjero y cumplir tareas similares en organizaciones intergubernamentales. Sus tareas pueden incluir la supervisión de otros trabajadores.";Los funcionarios públicos superiores que dirigen un establecimiento industrial, una empresa de servicios públicos, de transporte o de otra clase, perteneciente al gobierno o controlada por este último, o que desempeñan tareas y funciones semejantes a las que se clasifican en el subgrupo 122, Directores de departamentos de producción y operaciones, o 123, Otros directores de departamentos, se clasifican en los subgrupos principales 12, Directores de empresa, o 13, Gerentes de empresa, según corresponda.;
1120;Directores generales y gerentes generales;"El personal directivo de la administración pública asesora al gobierno en los asuntos políticos, vigila la interpretación y la aplicación de la política gubernamental y de la legislación por los departamentos y otros organismos públicos; actúa en nombre y representación del país en el extranjero o desempeña tareas similares en organizaciones intergubernamentales.";"a) asesorar en los asuntos políticos al gobierno nacional o al gobierno del Estado federado o de la provincia, región o colectividad local;

b) asesorar en la preparación de los presupuestos públicos, así como de las leyes, decretos y disposiciones reglamentarias, comprendidas las enmien- das;

c) vigilar la aplicación de la política gubernamental y de la legislación por los departamentos y organismos públicos;

d) representar a su país en el extranjero;

e) ejecutar tareas similares en organizaciones intergubernamentales;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Administrador, administración pública

Administrador, organización intergubernamental

Cónsul general

Embajador

Secretario general, administración pública"
12;Directores administradores y comerciales;Los directores de empresa definen y formulan la política de una empresa o de un organismo o de uno o varios de sus departamentos o servicios y dirigen y coordinan sus actividades.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política de la empresa u organismo; planificar, dirigir y coordinar las actividades de la empresa u organismo en su conjunto o de uno de sus departamentos o servicios. Sus tareas pueden incluir la supervisión de otros trabajadores.";"En algunos de los casos en que se exige a los trabajadores que ocupan cargos directivos que posean calificaciones profesionales, técnicas o prácticas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro subgrupo principal. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si las calificaciones y los conocimientos constituyen la base necesaria para el ejercicio de las funciones de dirección, el puesto de trabajo deberá clasificarse bajo el presente subgrupo principal. Por ejemplo, si las tareas principales consisten en diagnosticar y tratar enfermedades, el puesto de trabajo deberá clasificarse bajo el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si las tareas principales consisten en decidir sobre la asignación de fondos para la investigación y el desarrollo que habrán de invertirse en los proyectos de una empresa u organización, tomándose como base el conocimiento médico, a dicho puesto de trabajo se le debería clasificar en este subgrupo principal.

Los profesionales y técnicos que asesoren, en calidad de consultores, a las empresas y organizaciones sobre cuestiones de dirección general o especializada, o de funcionamiento, deberán clasificarse bajo los grandes grupos 2, Profesionales científicos e intelectuales, o 3, Técnicos y profesionales de nivel medio, según corresponda.";
121;Directores de administración y servicios;Los directores generales y gerentes generales de empresa dirigen empresas y organizaciones de otro tipo (excepto organizaciones especializadas), y con la colaboración de, por lo menos, otros dos directores formulan las políticas y planifican, dirigen y coordinan las actividades de dichas empresas y organizaciones, siguiendo la orientación impartida por un directorio u otro órgano directivo, ante quien son responsables de los resultados obtenidos y de las actividades realizadas.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política de la empresa u organismo; planificar, dirigir y coordinar su funcionamiento general con la asistencia de, por lo menos, otros dos directores, habitualmente siguiendo la orientación impartida por un directorio u otro órgano directivo; evaluar las operaciones y los resultados obtenidos e informar al respecto al directorio o al órgano directivo; representar a la organización en su trato con terceros, comprendidos el gobierno y otras autoridades. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
122;Directores de ventas, comercialización y desarrollo;Los directores de departamentos de producción y operaciones de una empresa u organización que comprende por lo menos tres directores planifican, dirigen y coordinan, bajo la dirección general de los directores y gerentes generales de sus empresas u organizaciones, y en consulta con los directores subordinados de otros departamentos o servicios, las actividades de producción de bienes o de prestación de servicios.;"Las tareas desempeñadas por lo común incluyen las siguientes: planificar, dirigir y coordinar las actividades de producción de bienes o de prestación de servicios de la empresa u organismo, dirigir el trabajo diario; vigilar el rendimiento del personal y controlar su selección y formación, evaluar los resultados y comunicar esta información a los directores responsables; representar al departamento a su cargo en los contactos con los demás sectores de la organización o con terceros. Sus tareas pueden incluir la supervisión de otros trabajadores.";Los grupos primarios que constituyen este subgrupo clasifican los puestos de dirección (producción y operaciones) que se encuentran en nueve grandes ramas de la actividad económica. Para mayor precisión en la definición de esas ramas, cabe hacer referencia a la Clasificación Industrial Internacional Uniforme de todas las Actividades Económicas (CIIU), ST/ESA/ STAT/SER.M/4/Rev.3/ADD 2, Naciones Unidas, Nueva York, 1988: ;
13;Directores y gerentes de producción y operaciones;Los gerentes de empresa dirigen pequeñas empresas de todo tipo por cuenta propia o en representación de los propietarios, con la asistencia de otro gerente como máximo y de personal subordinado;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes:

planificar, definir y aplicar la política de la empresa; dirigir las operaciones cotidianas y analizar sus resultados; negociar con los abastecedores y los clientes, así como con otras empresas; planificar y controlar la utilización de los recursos y la selección del personal; presentar informes a los propietarios, si los hay; supervisar a otros trabajadores";;
131;Directores de producción agropecuaria, silvicultura y pesca;Los gerentes de empresa dirigen pequeñas empresas de todo tipo por cuenta propia o en representación de los propietarios,con la asistencia de otro gerente como máximo y de personal subordinado;"Las tareas desempeñadas por lo común incluyen las siguientes: planificar, definir y aplicar la política de la empresa; dirigir las operaciones cotidianas y analizar sus resultados; negociar con los abastecedores y clientes, así como con otras empresas; planificar y controlar la utilización de los recursos y la selección del personal; presentar informes a los propietarios, si los hay; supervisar a otros trabajadores";"Los grupos primarios que constituyen este subgrupo clasifican los puestos de gerentes que se encuentran en nueve grandes ramas de la actividad económica. Para mayor precisión en la definición de esas ramas, cabe hacer referencia a la Clasificación Industrial Internacional Uniforme de Todas las Actividades Económicas (CIIU), ST/ESA/STAT/SER.M/4/ Rev.3/ADD 2; Naciones Unidas, Nueva York, 1988: ";
2;Profesionales científicos e intelectuales;"Los profesionales científicos e intelectuales se dedican a una de las tres actividades siguientes o a cualquier combinación de éstas: ampliar el acervo de conocimientos científicos o intelectuales; aplicar conceptos, teorías, métodos o técnicas científicos o artísticos, o enseñar sistemáticamente lo que saben en sus respectivos campos. La mayoría de las ocupaciones de este gran grupo requieren competencias de cuarto grado, tal como las define la CIUO.";"Las tareas desempeñadas por lo común por los profesionales científicos e Intelectuales incluyen las siguientes: análisis e investigación; formulación y desarrollo de conceptos, teorías y métodos, y asesoramiento o aplicación de los conocimientos en materia de ciencias exactas, incluidas las matemáticas, la arquitectura, la ingeniería y la tecnología; en materia de ciencias biológicas y disciplinas conexas, incluida la medicina, y en materia de ciencias sociales, humanidades, artes y religión; la enseñanza, a distintos niveles educativos, de la teoría y la práctica de una o más disciplinas o de un programa especial (como el que exija la instrucción de personas disminuidas física o mentalmente); la prestación de servicios jurídicos, sociales, económicos y comerciales, inclusive los vinculados con la gestión de empresas; la creación y ejecución de obras literarias y artísticas; la dirección y orientación espirituales, y la preparación de ponencias, informes y libros de carácter académico, científico o cultural. Además, pueden incluir la supervisión de otros trabajadores.";Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y las exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este gran grupo en el gran grupo 3: Técnicos y profesionales de nivel medio. Tales casos pueden darse especialmente entre las ocupaciones relativas a la enseñanza, la enfermería y partería y el trabajo social.;
